date,ph,ec,tds,pss,c
02/19/2016 02:47:59,8.1186,55193.99219,29804.75391,36.576,24.75
02/19/2016 02:53:00,8.1149,55228.80469,29823.55273,36.604,24.75
02/19/2016 02:58:01,8.1148,55220.27734,29818.94727,36.596,24.75
02/19/2016 03:03:03,8.1121,55226.45703,29822.28516,36.601,24.75
02/19/2016 03:08:03,8.1125,55188.99609,29802.05664,36.572,24.7375
02/19/2016 03:13:04,8.1118,55163.57031,29788.32422,36.556,24.75
02/19/2016 03:18:05,8.1102,55229.64844,29824.00781,36.604,24.725
02/19/2016 03:23:06,8.1071,55206.45703,29811.48633,36.587,24.74375
02/19/2016 03:28:07,8.1055,55179.21094,29796.77344,36.566,24.71875
02/19/2016 03:33:08,8.1047,55222.46484,29820.12891,36.597,24.6875
02/19/2016 03:38:09,8.1033,55244.86328,29832.22266,36.614,24.6875
02/19/2016 03:43:10,8.099,55212.05859,29814.51172,36.589,24.6875
02/19/2016 03:48:11,8.099,55241.69922,29830.51758,36.61,24.68125
02/19/2016 03:53:12,8.0948,55254.62109,29837.49219,36.622,24.6875
02/19/2016 03:58:13,8.094,55205.27344,29810.8457,36.584,24.68125
02/19/2016 04:03:14,8.0934,55194.90625,29805.24805,36.575,24.65
02/19/2016 04:08:15,8.0894,55208.25781,29812.45703,36.585,24.64375
02/19/2016 04:13:16,8.0868,55170.96875,29792.32031,36.559,24.625
02/19/2016 04:18:17,8.0851,55148.54688,29780.21094,36.541,24.625
02/19/2016 04:23:18,8.0822,55164.62891,29788.89844,36.554,24.625
02/19/2016 04:33:24,8.0756,55166.89453,29790.12305,36.554,24.625
02/19/2016 04:38:25,8.0735,55214.24219,29815.68945,36.59,24.6
02/19/2016 04:43:26,8.0704,55287.70703,29855.36133,36.642,24.56875
02/19/2016 04:48:27,8.0692,55199.02734,29807.47266,36.579,24.5625
02/19/2016 04:53:28,8.0636,55224.4375,29821.19531,36.596,24.5625
02/19/2016 04:58:29,8.0614,55233.14453,29825.89844,36.603,24.5625
02/19/2016 05:03:30,8.0573,55223.49219,29820.68359,36.596,24.5625
02/19/2016 05:08:31,8.0563,55211.36719,29814.13672,36.587,24.55625
02/19/2016 05:13:32,8.053,55225.375,29821.69922,36.596,24.54375
02/19/2016 05:18:33,8.0493,55266.85547,29844.09961,36.628,24.51875
02/19/2016 05:23:34,8.0455,55261.37109,29841.13867,36.623,24.51875
02/19/2016 05:28:35,8.0461,55251.33594,29835.71875,36.616,24.5
02/19/2016 05:33:36,8.0417,55233.14063,29825.89258,36.602,24.5
02/19/2016 05:43:38,8.0331,55213.15234,29815.09961,36.589,24.5
02/19/2016 05:48:39,8.0329,55251.80469,29835.97266,36.616,24.5
02/19/2016 05:58:41,8.0277,55253.95703,29837.13477,36.617,24.475
02/19/2016 06:03:42,8.0228,55298.26563,29861.06055,36.65,24.4375
02/19/2016 06:08:43,8.0213,55259.29297,29840.01758,36.621,24.4375
02/19/2016 06:14:02,8.0189,55219.16016,29818.3457,36.591,24.4375
02/19/2016 06:18:45,8.0179,55268.3125,29844.88867,36.629,24.4375
02/19/2016 06:23:46,8.0154,55220.32422,29818.97656,36.592,24.4375
02/19/2016 06:38:49,8.006,55244.84766,29832.2168,36.609,24.375
02/19/2016 06:48:51,8.0025,55274.83203,29848.40625,36.632,24.375
02/19/2016 06:53:52,7.9991,55272.77344,29847.29688,36.631,24.375
02/19/2016 06:58:54,7.9975,55211.54688,29814.23242,36.585,24.375
02/19/2016 07:03:55,7.993,55238.96484,29829.03906,36.605,24.375
02/19/2016 07:08:55,7.9914,55234.58203,29826.67578,36.602,24.375
02/19/2016 07:13:57,7.9886,55293.98828,29858.75195,36.645,24.36875
02/19/2016 07:18:57,7.9854,55272.44922,29847.12109,36.63,24.375
02/19/2016 07:23:59,7.9832,55270.66016,29846.1543,36.628,24.375
02/19/2016 07:29:00,7.9837,55227.13672,29822.65234,36.596,24.375
02/19/2016 07:34:01,7.9795,55299.80859,29861.89648,36.651,24.38125
02/19/2016 07:39:02,7.9769,55252.59375,29836.40234,36.616,24.43125
02/19/2016 07:44:03,7.9751,55281.09766,29851.79297,36.636,24.375
02/19/2016 07:49:04,7.9711,55295.17578,29859.39453,36.648,24.4375
02/19/2016 07:54:05,7.9716,55325.80078,29875.93164,36.672,24.4375
02/19/2016 07:59:06,7.9674,55295.94531,29859.80859,36.648,24.44375
02/19/2016 08:04:07,7.9627,55283.97656,29853.34766,36.64,24.4625
02/19/2016 08:09:08,7.9612,55256.69141,29838.61328,36.619,24.5
02/19/2016 08:14:09,7.9577,55283.54297,29853.11328,36.641,24.5
02/19/2016 08:19:10,7.9568,55336.58984,29881.75586,36.681,24.5
02/19/2016 08:24:11,7.9532,55272.4375,29847.11523,36.632,24.5375
02/19/2016 08:29:12,7.9518,55351.80078,29889.9707,36.691,24.525
02/19/2016 08:34:23,7.9466,55254.00391,29837.1582,36.62,24.5625
02/19/2016 08:39:14,7.9445,55288.73438,29855.91406,36.644,24.5625
02/19/2016 08:54:17,7.9346,55282.03125,29852.29492,36.642,24.61875
02/19/2016 08:59:18,7.9333,55257.94531,29839.28906,36.622,24.625
02/19/2016 09:04:19,7.9288,55327.97656,29877.10742,36.675,24.625
02/19/2016 09:09:20,7.9281,55304.45313,29864.40234,36.658,24.6375
02/19/2016 09:14:21,7.9249,55268.67969,29845.08594,36.631,24.68125
02/19/2016 09:19:22,7.9234,55287.46875,29855.23242,36.647,24.6875
02/19/2016 09:24:23,7.9205,55303.45313,29863.86719,36.657,24.6875
02/19/2016 09:29:24,7.9169,55321.85156,29873.80078,36.67,24.6875
02/19/2016 09:34:25,7.9177,55302.46484,29863.33008,36.658,24.7
02/19/2016 09:39:26,7.9168,55271.72656,29846.73242,36.635,24.725
02/19/2016 09:44:27,7.9125,55255.21484,29837.81445,36.623,24.75
02/19/2016 09:49:28,7.9122,55237.90625,29828.4668,36.611,24.75
02/19/2016 09:54:29,7.9104,55288.68359,29855.88867,36.648,24.75
02/19/2016 09:59:30,7.9091,55269.79297,29845.6875,36.635,24.75
02/19/2016 10:09:32,7.9067,55332.85547,29879.74023,36.681,24.78125
02/19/2016 10:14:33,7.9023,55291.4375,29857.37305,36.651,24.80625
02/19/2016 10:19:34,7.9029,55315.19922,29870.20898,36.668,24.8
02/19/2016 10:24:35,7.899,55278.35156,29850.30859,36.641,24.8125
02/19/2016 10:29:36,7.8989,55280.84766,29851.65625,36.643,24.8125
02/19/2016 10:34:37,7.8997,55312.66406,29868.83594,36.666,24.8125
02/19/2016 10:44:39,7.8965,55357.23828,29892.9082,36.7,24.8125
02/19/2016 10:49:40,7.8949,55308.51563,29866.59766,36.664,24.8125
02/19/2016 10:54:41,7.8935,55313.60156,29869.34375,36.669,24.80625
02/19/2016 10:59:42,7.8918,55285.98828,29854.43164,36.647,24.8
02/19/2016 11:09:44,7.8894,55337.17578,29882.07227,36.684,24.75
02/19/2016 11:14:45,7.8887,55352.58594,29890.39453,36.696,24.75
02/19/2016 11:19:46,7.8894,55311.73438,29868.33594,36.664,24.74375
02/19/2016 11:24:47,7.887,55321.28125,29873.49023,36.672,24.73125
02/19/2016 11:29:48,7.8844,55345.69141,29886.67188,36.689,24.6875
02/19/2016 11:39:50,7.8838,55316.36719,29870.83594,36.668,24.6875
02/19/2016 11:44:51,7.882,55340.46484,29883.84766,36.685,24.68125
02/19/2016 11:49:53,7.8818,55373.07813,29901.46289,36.709,24.65
02/19/2016 11:54:54,7.8828,55388.08984,29909.56641,36.72,24.6375
02/19/2016 11:59:55,7.879,55346.5,29887.10938,36.689,24.625
02/19/2016 12:09:57,7.8787,55339.01953,29883.06836,36.683,24.625
02/19/2016 12:14:58,7.8791,55295.04297,29859.32031,36.65,24.6125
02/19/2016 12:19:59,7.8785,55330.28906,29878.35352,36.676,24.56875
02/19/2016 12:25:00,7.8765,55378.78516,29904.54297,36.712,24.5625
02/19/2016 12:30:01,7.8773,55317.97656,29871.70703,36.668,24.5625
02/19/2016 12:35:02,7.8776,55333.75391,29880.22852,36.678,24.5625
02/19/2016 12:40:03,7.8745,55394.00781,29912.76172,36.725,24.525
